Gypaetus barbatus,BeardedVulture
Anas bahamensis,White-cheekedPintail
Pelecanus onocrotalus,GreatWhitePelican
Tetraogallus caspius,CaspianSnowcock
Puffinus yelkouan,YelkouanShearwater
Argya altirostris,IraqBabbler
Threskiornis aethiopicus,AfricanSacredIbis
Cursorius cursor,Cream-coloredCourser
Pyrrhula murina,AzoresBullfinch
Ketupa zeylonensis,BrownFishOwl
Uria lomvia,Thick-billedMurre
Microcarbo pygmaeus,PygmyCormorant
Aquila heliaca,EasternImperialEagle
Aquila fasciata,BonellisEagle
Estrilda melpoda,Orange-cheekedWaxbill
Circus macrourus,PallidHarrier
Rhea americana,GreaterRhea
Rhodospiza obsoleta,DesertFinch
Hydrobates castro,Band-rumpedStormPetrel
Oenanthe chrysopygia,Red-tailedWheatear
Oenanthe finschii,FinschsWheatear
Falco rusticolus,Gyrfalcon
Syrmaticus reevesii,ReevessPheasant
Phoenicopterus ruber,AmericanFlamingo
Buteo rufinus,Long-leggedBuzzard
Cairina moschata,MuscovyDuck
Hydrobates leucorhous,LeachsStormPetrel
Chrysolophus pictus,GoldenPheasant
Branta ruficollis,Red-breastedGoose
Agapornis personatus,Yellow-collaredLovebird
Aythya marila,GreaterScaup
Somateria spectabilis,KingEider
Passer moabiticus,DeadSeaSparrow
Spatula cyanoptera,CinnamonTeal
Tetraogallus caucasicus,CaucasianSnowcock
Aythya nyroca,FerruginousDuck
Glareola nordmanni,Black-wingedPratincole
Streptopelia roseogrisea,AfricanCollaredDove
Aquila adalberti,SpanishImperialEagle
Melanocorypha yeltoniensis,BlackLark
Xema sabini,SabinesGull
Alauda leucoptera,White-wingedLark
Phoenicopterus chilensis,ChileanFlamingo
Prunella montanella,SiberianAccentor
Ciconia nigra,BlackStork
Chrysolophus amherstiae,LadyAmherstsPheasant
Lanius minor,LesserGreyShrike
Carpodacus rubicilla,GreatRosefinch
Larus ichthyaetus,PallassGull
Larus glaucoides,IcelandGull
Carpospiza brachydactyla,PaleRockfinch
Pterodroma madeira,ZinosPetrel
Histrionicus histrionicus,HarlequinDuck
Estrilda troglodytes,Black-rumpedWaxbill
Anas rubripes,AmericanBlackDuck
Mergellus albellus,Smew
Geronticus eremita,NorthernBaldIbis
Chloephaga picta,UplandGoose
Phaethon aethereus,Red-billedTropicbird
Puffinus baroli,BaroloShearwater
Bubo scandiacus,SnowyOwl
Egretta gularis,WesternReefHeron
Bucephala islandica,BarrowsGoldeneye
Hippolais languida,UpchersWarbler
Phoeniconaias minor,LesserFlamingo
Emberiza cineracea,CinereousBunting
Prunella atrogularis,Black-throatedAccentor
Prunella ocularis,RaddesAccentor
Apus unicolor,PlainSwift
Agapornis fischeri,FischersLovebird
Phoenicurus erythrogastrus,GüldenstädtsRedstart
Curruca ruppeli,RüppellsWarbler
Curruca melanothorax,CyprusWarbler
Gulosus aristotelis,EuropeanShag
Otus cyprius,CyprusScopsOwl
Anser erythropus,LesserWhite-frontedGoose
Calidris pugnax,Ruff
Poecile lugubris,SombreTit
Tichodroma muraria,Wallcreeper
Ficedula semitorquata,SemicollaredFlycatcher
Oxyura jamaicensis,RuddyDuck
Lanius nubicus,MaskedShrike
Euplectes afer,Yellow-crownedBishop
Stercorarius skua,GreatSkua
Aythya collaris,Ring-neckedDuck
Irania gutturalis,White-throatedRobin
Aratinga nenday,NandayParakeet
Sitta tephronota,EasternRockNuthatch
Lanius phoenicuroides,Red-tailedShrike
Oenanthe cypriaca,CyprusWheatear
Poecile hyrcanus,CaspianTit
Fringilla teydea,TenerifeBlueChaffinch
Phylloscopus orientalis,EasternBonellisWarbler
Hippolais olivetorum,Olive-treeWarbler
Quelea quelea,Red-billedQuelea
Serinus pusillus,Red-frontedSerin
Gallinago megala,SwinhoesSnipe
Euodice malabarica,IndianSilverbill
Cuculus saturatus,HimalayanCuckoo
Vanellus leucurus,White-tailedLapwing
Onychoprion fuscatus,SootyTern
Ammomanes deserti,DesertLark
Curruca balearica,BalearicWarbler
Clanga clanga,GreaterSpottedEagle
Emberiza buchanani,Grey-neckedBunting
Hieraaetus pennatus,BootedEagle
Gallinago stenura,Pin-tailedSnipe
Buteo lagopus,Rough-leggedBuzzard
Cygnus atratus,BlackSwan
Apus caffer,White-rumpedSwift
Loxia scotica,ScottishCrossbill
Sylvia nana,AsianDesertWarbler
Melanitta fusca,VelvetScoter
Oenanthe melanoleuca,EasternBlack-earedWheatear
Gyps fulvus,GriffonVulture
Melanocorypha bimaculata,BimaculatedLark
Circus cyaneus,HenHarrier
Emberiza caesia,CretzschmarsBunting
Larus hyperboreus,GlaucousGull
Pterocles orientalis,Black-belliedSandgrouse
Ichthyaetus audouinii,AudouinsGull
Anser cygnoid,SwanGoose
Turdus atrogularis,Black-throatedThrush
Calonectris diomedea,ScopolisShearwater
Lonchura punctulata,Scaly-breastedMunia
Fulica cristata,Red-knobbedCoot
Charadrius leschenaultii,GreaterSandPlover
Fratercula arctica,AtlanticPuffin
Acridotheres cristatellus,CrestedMyna
Branta hutchinsii,CacklingGoose
Larus philadelphia,BonapartesGull
Clanga pomarina,LesserSpottedEagle
Sitta whiteheadi,CorsicanNuthatch
Morus bassanus,NorthernGannet
Amazona aestiva,Turquoise-frontedAmazon
Emberiza bruniceps,Red-headedBunting
Streptopelia orientalis,OrientalTurtleDove
Zoothera aurea,WhitesThrush
Pluvialis fulva,PacificGoldenPlover
Accipiter badius,Shikra
Iduna rama,SykessWarbler
Pycnonotus cafer,Red-ventedBulbul
Pionus maximiliani,Scaly-headedParrot
Psittacara erythrogenys,Red-maskedParakeet
Bucanetes mongolicus,MongolianFinch
Psittacara mitratus,MitredParakeet
Gymnoris xanthocollis,Yellow-throatedSparrow
Meleagris gallopavo,WildTurkey
Poicephalus senegalus,SenegalParrot
Parabuteo unicinctus,HarrissHawk
Vanellus indicus,Red-wattledLapwing
Spatula discors,Blue-wingedTeal
Netta rufina,Red-crestedPochard
Stercorarius longicaudus,Long-tailedJaeger
Emberiza leucocephalos,PineBunting
Mergus serrator,Red-breastedMerganser
Vidua macroura,Pin-tailedWhydah
Pycnonotus jocosus,Red-whiskeredBulbul
Iduna opaca,WesternOlivaceousWarbler
Acridotheres tristis,CommonMyna
Phylloscopus sindianus,MountainChiffchaff
Larus delawarensis,Ring-billedGull
Carduelis corsicana,CorsicanFinch
Podilymbus podiceps,Pied-billedGrebe
Corvus splendens,HouseCrow
Falco vespertinus,Red-footedFalcon
Merops persicus,Blue-cheekedBee-eater
Ardeola ralloides,SquaccoHeron
Numida meleagris,HelmetedGuineafowl
Actitis macularius,SpottedSandpiper
Iduna caligata,BootedWarbler
Thalasseus elegans,ElegantTern
Anthropoides virgo,DemoiselleCrane
Halcyon smyrnensis,White-throatedKingfisher
Anser caerulescens,SnowGoose
