species_code,English name
ostric2,Common Ostrich
ostric3,Somali Ostrich
soucas1,Southern Cassowary
dwacas1,Dwarf Cassowary
norcas1,Northern Cassowary
emu1,Emu
sobkiw1,Southern Brown Kiwi
okbkiw1,Okarito Brown Kiwi
nibkiw1,North Island Brown Kiwi
liskiw1,Little Spotted Kiwi
grskiw1,Great Spotted Kiwi
grerhe1,Greater Rhea
lesrhe2,Lesser Rhea
tabtin1,Tawny-breasted Tinamou
higtin1,Highland Tinamou
hootin1,Hooded Tinamou
grytin1,Gray Tinamou
soltin1,Solitary Tinamou
blatin1,Black Tinamou
gretin1,Great Tinamou
whttin1,White-throated Tinamou
cintin1,Cinereous Tinamou
bertin1,Berlepsch's Tinamou
littin1,Little Tinamou
teptin1,Tepui Tinamou
brotin1,Brown Tinamou
undtin1,Undulated Tinamou
pabtin1,Pale-browed Tinamou
bratin1,Brazilian Tinamou
gyltin1,Gray-legged Tinamou
reltin1,Red-legged Tinamou
yeltin1,Yellow-legged Tinamou
blctin1,Black-capped Tinamou
slbtin1,Slaty-breasted Tinamou
chotin1,Choco Tinamou
vartin1,Variegated Tinamou
thitin1,Thicket Tinamou
rustin1,Rusty Tinamou
bartin2,Bartlett's Tinamou
smbtin1,Small-billed Tinamou
bartin1,Barred Tinamou
tattin1,Tataupa Tinamou
rewtin1,Red-winged Tinamou
huatin1,Huayco Tinamou
tactin1,Taczanowski's Tinamou
orntin1,Ornate Tinamou
chitin1,Chilean Tinamou
brutin1,Brushland Tinamou
andtin1,Andean Tinamou
cubtin1,Curve-billed Tinamou
whbnot1,White-bellied Nothura
lesnot1,Lesser Nothura
darnot1,Darwin's Nothura
sponot1,Spotted Nothura
dwatin1,Dwarf Tinamou
elctin1,Elegant Crested-Tinamou
quctin1,Quebracho Crested-Tinamou
puntin1,Puna Tinamou
pattin1,Patagonian Tinamou
horscr1,Horned Screamer
souscr1,Southern Screamer
norscr1,Northern Screamer
maggoo1,Magpie Goose
spwduc1,Spotted Whistling-Duck
plwduc1,Plumed Whistling-Duck
wfwduc1,White-faced Whistling-Duck
bbwduc,Black-bellied Whistling-Duck
wiwduc1,West Indian Whistling-Duck
fuwduc,Fulvous Whistling-Duck
wawduc1,Wandering Whistling-Duck
lewduc1,Lesser Whistling-Duck
whbduc1,White-backed Duck
bahgoo,Bar-headed Goose
empgoo,Emperor Goose
snogoo,Snow Goose
rosgoo,Ross's Goose
gragoo,Graylag Goose
swagoo1,Swan Goose
gwfgoo,Greater White-fronted Goose
lwfgoo,Lesser White-fronted Goose
taibeg1,Taiga Bean-Goose
tunbeg1,Tundra Bean-Goose
pifgoo,Pink-footed Goose
brant,Brant
bargoo,Barnacle Goose
cacgoo1,Cackling Goose
cangoo,Canada Goose
hawgoo,Hawaiian Goose
rebgoo1,Red-breasted Goose
cabgoo1,Cape Barren Goose
freduc1,Freckled Duck
buwgoo1,Blue-winged Goose
mutswa,Mute Swan
blkswa,Black Swan
blnswa2,Black-necked Swan
truswa,Trumpeter Swan
tunswa,Tundra Swan
whoswa,Whooper Swan
cosswa1,Coscoroba Swan
comduc2,Knob-billed Duck
comduc3,Comb Duck
harduc1,Hartlaub's Duck
origoo1,Orinoco Goose
andgoo1,Andean Goose
uplgoo1,Upland Goose
kelgoo1,Kelp Goose
ashgoo1,Ashy-headed Goose
ruhgoo1,Ruddy-headed Goose
radshe1,Radjah Shelduck
egygoo,Egyptian Goose
maushe1,Mauritius Shelduck
reushe1,Reunion Shelduck
rudshe,Ruddy Shelduck
soashe1,South African Shelduck
ausshe1,Australian Shelduck
parshe1,Paradise Shelduck
comshe,Common Shelduck
creshe1,Crested Shelduck
spwgoo1,Spur-winged Goose
flystd1,Flying Steamer-Duck
flistd1,Flightless Steamer-Duck
falstd1,Falkland Steamer-Duck
whhstd1,White-headed Steamer-Duck
creduc1,Crested Duck
speduc2,Spectacled Duck
musduc,Muscovy Duck
grnpyg1,Green Pygmy-Goose
copgoo1,Cotton Pygmy-Goose
afrpyg1,African Pygmy-Goose
rintea1,Ringed Teal
wooduc,Wood Duck
manduc,Mandarin Duck
manduc1,Maned Duck
finduc1,Finsch's Duck
bratea1,Brazilian Teal
bluduc1,Blue Duck
torduc1,Torrent Duck
saltea1,Salvadori's Teal
baitea,Baikal Teal
gargan,Garganey
hottea1,Blue-billed Teal
siltea1,Silver Teal
puntea1,Puna Teal
buwtea,Blue-winged Teal
cintea,Cinnamon Teal
redsho1,Red Shoveler
capsho1,Cape Shoveler
aussho1,Australasian Shoveler
